€1,400,000  -€200,000 on 31st Jul 19 	 Oakpark, Tralee, Kerry
€180,000  -€100,000 on 3rd Jan 19 	 The Boathouse, Fenit, Co. Kerry
€210,000 	 The Links, Sandhill Road, Ballybunion, Kerry
€135,000  -€15,000 on 11th Oct 18 	 Ballyard, Tralee, Kerry
€95,000 	 Ballinorig East, Tralee, Kerry
POA 	 Killiney Cross, Castlegregory, Kerry
POA 	 Ballylongane, Ballyheigue, Kerry
POA 	 Clahane , Tralee, Kerry
POA 	 Leamphreghane , Kilflynn, Kerry
€120,000 	 Listrim, The Spa, Tralee, Kerry
POA 	 Cluain Ri, Racecourse Road, Tralee, Kerry
€75,000 	 Castledrum, Castlemaine, Kerry
POA 	 Ref 791 - Site at Tinnies Upper, Valentia Island, Kerry
€450,000 	 Cloonmore,Boherbue, Tralee, Kerry
€299,000  -€46,000 on 21st Mar 20 	 The Hill, Clounbrane, Moyvane, Kerry
€299,000  -€46,000 on 12th Mar 20 	 Clounbrane (The Hill), Moyvane, Kerry
€80,000 	 Site 3, Alderwood Road, Tralee, Co.Kerry
€100,000 	 6 Brandon Place, Basin Road , Tralee, Kerry
€30,000 	 Renagowan, Lyre,, Listowel, Kerry
€189,000 	 Oakley, Dromerin, Listowel, Kerry
