POA 	 Ballyristeen, Dingle, Kerry
€125,000 	 31 St Johns Park, Tralee, Kerry
€325,000 	 An Sceilg, New Line, Murreigh, Waterville, Co. Kerry
€175,000 	 Glenderry , Ballyheigue, Kerry
€150,000 	 14 Manor Drive, Manor Village, Tralee, Kerry
€220,000 	 Caherbreagh, Tralee, Kerry
€210,000 	 2A The Lime, The Avenue, Countess Road, Killarney, Co. Kerry
€60,000 	 Toremore, Kilcummin, Killarney, Co Kerry, V93Y7N2
€250,000 	 5 Lighthouse Village, Fenit, County Kerry, V92DK82
€265,000 	 Ballybeag, Ventry, Kerry
€120,000 	 53 Connolly Park, Tralee, Kerry
€285,000 	 Currans Village, Farranfore, Kerry
€280,000 	 64 Cahernane Meadows, Muckross Road, Killarney, Co Kerry, V93 W2X7
€125,000 	 Doon Bay Road, Ballybunion, Kerry
€165,000 	 Rea, Kilmorna, Listowel, Kerry
€125,000 	 Site At Slieve, The Spa, Tralee, Co.Kerry, V92TX3K
€68,000 	 Ref 899 - Old Cottage/Ruin, Canuig, Mastergeehy, Waterville, Kerry
€350,000 	 Dunmaniheen, Killorglin, Co Kerry, V93 X593
€145,000 	 1Sheepwalk, Ballyduff, Kerry
€145,000 	 16 The Crescent, Shinnagh, Rathmore, Rathmore, Kerry
